Title,tags
Rear Window,thriller mysteri jamesstewart gracekelli wendellcorey alfredhitchcock a wheelchairbound photograph spi neighbor apart window becom convinc one commit murder nurs isol photograph suspicionofmurd girlfriend salesman neighbor whodunit convalesc voyeur voyeur missingwif homebound psychoticobsess suspiciousbehavior flowerb visitingnurs suspens theboywhocriedwolf
The Silence of the Lambs,crime drama thriller jodiefost anthonyhopkin scottglenn jonathandemm claric starl top student fbi train academi jack crawford want claric interview dr hannib lecter brilliant psychiatrist also violent psychopath serv life behind bar variou act murder cannib crawford believ lecter may insight case starl attract young woman may bait draw out basedonnovelorbook kidnap psychopath fbi murder serialkil psychologicalthril brutal cannib moth virginia neonoir
American History X,drama edwardnorton edwardfurlong beverlydangelo tonykay derek vineyard parol serv 3 year prison kill two africanamerican men through brother danni vineyard narrat learn go prison derek skinhead leader violent white supremacist gang commit act racial crime throughout la action greatli influenc danni reform fresh prison derek sever contact gang becom determin keep danni go violent path did prison neonaz rape skinhead siblingrelationship swastika brother fascism jail school losangelescalifornia famili xenophobia interracialfriendship nazism
Princess Mononoke,adventur fantasi anim youjimatsuda yurikoishida yûkotanaka hayaomiyazaki ashitaka princ disappear emishi peopl curs demon boar god must journey west find cure along way encount san young human woman fight protect forest ladi eboshi tri destroy it ashitaka must find way bring balanc conflict friendship humanvsnatur wolf fight wildboar territori leprosi feralchild decapit ruralarea historicalfict spirit demon natur environment adultanim deforest anim industri
The Quintessential Quintuplets Movie,anim comedi romanc yoshitsugumatsuoka kanahanazawa ayanataketatsu masatojimbo when five love young girl hate studi hire parttim tutor futaro guid educ also heart time spent brought closer feel grow within girl futaro as finish third year high school last school festiv approach set sight what’ next is futur one futaro adolesc harem sister romanc sliceoflif school basedonmanga anim
Once Upon a Studio,anim famili fantasi comedi chrisdiamantopoulo kaitlynrobrock tonyanselmo trentcorrey creat disney 100th anniversari short featur mickey mous corral galleri legendari disney charact group photo liveactionandanim shortfilm cgiliveactionhybrid
Hotarubi no Mori e,romanc anim fantasi izumisawada hayatotaya ayanesakura takahiroomori one hot summer day littl girl get lost enchant forest mountain god spirit resid a young boy appear her cannot touch fear make disappear and wondrou adventur await supernatur sliceoflif basedonmanga spirit folklor japanesemytholog anim
The Great Dictator,comedi war charliechaplin paulettegoddard jackoaki charliechaplin dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim amnesia nazi hairdress propaganda worldwari dictat jewishghetto fascism worldwarii nationalsoci nationalsocialistparti satir speech blackandwhit barbershop antiwar fictitiouscountri
Back to the Future,adventur comedi sciencefict michaeljfox christopherlloyd crispinglov robertzemecki eighti teenag marti mcfli accident sent back time 1955 inadvert disrupt parent first meet attract mother romant interest marti must repair damag histori rekindl parent romanc help eccentr inventor friend doc brown return 1985 flyingcar raceagainsttim clocktow carrac lightn guitar plutonium inventor journeyinthepast invent timetravel bulli madscientist love fishoutofwat terror teenagelov destini hiddenident teenagelif changingthepastorfutur 1950 amor cientificoloco
High and Low,drama crime mysteri toshirōmifun tatsuyanakadai kyōkokagawa akirakurosawa in midst attempt take compani powerhous execut hit huge ransom demand servant son kidnap chauffeur polic ransom manag kidnap blackmail babysnatch filmnoir shoe japanesenoir emaci
Dedicated to my ex,drama comedi raúlsantana natalyvalencia carlosalcántara jorgeulloa the film tell stori ariel 21yearold decid form rock band compet prize ten thousand dollar music band contest last option tri get money save relationship reunit exgirlfriend break due trip must make finland internship ariel friend ortega decid make cast find member band although know noth music thu form band member divers opposit person fame rockband heartbreak sketchcomedi ecuador whiteli bandcompetit
Neon Genesis Evangelion: The End of Evangelion,anim sciencefict action drama megumiogata megumihayashibara kotonomitsuishi mitsuhisaishikawa seel order allout attack nerv aim destroy eva gendo trigger third impact instrument control philosophi insan postapocalypticfutur futurist endoftheworld mecha avantgard meaninglessexist rebirth anim psychologicalterror basedontvseri existentialhorror alternateend experimentalsurr
Dead Poets Society,drama robinwilliam ethanhawk robertseanleonard stevenhaft at elit oldfashion board school new england passion english teacher inspir student rebel convent seiz potenti everi day court disdain stern headmast individu friendship philosophi poetri literatur professor basedontruestori comingofag teacher schoolplay vermont schoolteach preparatoryschool 1950 teenag
Sunset Boulevard,drama williamholden gloriaswanson erichvonstroheim billywild a hack screenwrit write screenplay former silent film star fade hollywood obscur newyearsev jealousi lossofsenseofr screenwrit butler delus diva filmnoir hollywood losangelescalifornia blackandwhit mad agingactor hasbeen silentfilmstar grandiosebehavior keptman moviestudio bitter
Ikiru,drama takashishimura haruotanaka nobuokaneko akirakurosawa kanji watanab middleag man work monoton bureaucrat posit decad learn cancer start look mean life dyinganddeath japan bureaucraci agediffer prais offic nightlif senseoflif playground obsequi swing loneli officepolit infatu wake publicwork shorttimetol bureaucrat thoughtsofretir terminalcanc citypark civilserv monotonouslif accomplish officegossip
Léon: The Professional,crime drama action jeanreno natalieportman garyoldman patriceledoux léon top hit man new york earn rep effect cleaner but nextdoor neighbor wipe loosecannon dea agent becom unwil custodian 12yearold mathilda befor long mathilda thought turn reveng consid follow léon footstep hotelroom newyorkc immigr assassin policebrut corrupt swat hitman lossoflovedon train reveng murder loneli neighbor tragiclov citylif neonoir complexrelationship
Perfect Blue,anim thriller junkoiwao ricamatsumoto shihoniiyama satoshikon encourag manag rise pop star mima take recur role popular tv show suddenli handler collabor begin turn murder career japan paranoia stalker celebr singer fame femaleprotagonist psychologicalthril mentalil mad splitperson adultanim jpop celebrityworship anim aspiringactress
Modern Times,comedi drama romanc charliechaplin paulettegoddard henrybergman charliechaplin a bumbl tramp desir build home young woman yet thwart time time lack experi habit wrong place wrong time factori ambul invent tramp greatdepress industrialrevolut slapstickcomedi blackandwhit machin pardon guilti silentfilm
Once Upon a Time in the West,drama western claudiacardinal henryfonda jasonrobard fulviomorsella as railroad builder advanc unstopp arizona desert way sea jill arriv small town flagston intent start new life smalltown lossoflovedon harmonica weddingparti spaghettiwestern arizonaterritori intercontintentalrailroad outlawgang waterpump mysteriouscharact boomtown railroadcompani hopeforanewlif railroadconstruct preservedfilm
City Lights,comedi romanc drama charliechaplin virginiacherril florencele charliechaplin a tramp fall love beauti blind flower girl hi onandoff friendship wealthi man allow girl benefactor suitor blindnessandimpairedvis eyeoper oper loveofoneslif suicideattempt flowershop flowergirl tramp love blackandwhit millionair silentfilm blindgirl littletramp feelgood comfort
Le Trou,drama thriller crime michelconstantin jeankeraudi philippeleroy jacquesbeck four prison inmat hatch plan liter dig jail anoth prison claud gaspard move cell they take risk share plan newcom over cours three day prison friend break concret floor use bed post begin make way sewer system yet escap anyth assur prison escap urin warden manhol toothbrush tunnel hourglass neonoir
